# Frozen v12 historical-roadmap classifications.
# Full claim text: https://github.com/Rullst/Rullst/blob/v12.0.0/docs/src/v12.md
# Format: claim_id<TAB>classification
M1	partial
M2	partial
M3	partial
M4	integral
M5	partial
M6	partial
M7	partial
M9	partial
M10	partial
M11	partial
M12	partial
M14	partial
M15	partial
M16	partial
M17	partial
M18	partial
M19	integral
M24	partial
M26	partial
M27	integral
M28	integral
M29	partial
M30	partial
M32	integral
AI-01	integral
AI-02	partial
AI-03	integral
AI-04	integral
AI-05	integral
AI-06	partial
AI-07	integral
AUTH-01	integral
AUTH-02	integral
CAP-01	integral
CAP-02	integral
CAP-03	integral
CAP-04	partial
CAP-05	integral
CAP-06	integral
CAP-07	integral
CAP-08	integral
CAP-09	integral
CAP-10	integral
CAP-11	integral
CAP-12	integral
CAP-13	integral
CONNECT-01	integral
CONNECT-02	integral
CONNECT-03	partial
CONNECT-04	integral
CONNECT-05	partial
CONNECT-06	partial
CONNECT-07	integral
CONNECT-08	partial
CONNECT-09	integral
CONNECT-10	integral
CONNECT-11	partial
CONNECT-12	partial
CONNECT-13	integral
CONNECT-14	integral
CONNECT-15	integral
CONNECT-16	integral
CONNECT-17	integral
CONNECT-18	integral
CONNECT-19	integral
CONNECT-20	integral
CONNECT-21	integral
CONNECT-22	integral
CONNECT-23	integral
IOT-01	integral
IOT-02	integral
IOT-03	integral
IOT-04	integral
IOT-05	partial
IOT-06	partial
IOT-07	partial
IOT-08	partial
IOT-09	integral
IOT-10	partial
IOT-11	partial
IOT-12	absent
IOT-13	absent
IOT-14	partial
IOT-15	partial
MAIL-01	integral
MAIL-02	integral
MAIL-03	partial
MAIL-04	integral
MAIL-05	integral
MAIL-06	integral
MAIL-07	integral
MAIL-08	integral
MAIL-09	partial
MAIL-10	integral
MAIL-11	integral
MAIL-12	partial
MAIL-13	partial
MAIL-14	partial
MAIL-15	integral
MAIL-16	integral
MAIL-17	integral
MAIL-18	integral
NEXUS-01	integral
NEXUS-02	integral
NEXUS-03	integral
NEXUS-04	integral
STUDIO-01	integral
STUDIO-02	partial
STUDIO-03	partial
STUDIO-04	integral
STUDIO-05	integral
STUDIO-06	integral
STUDIO-07	integral
SEC-01	partial
SEC-02	integral
SEC-03	integral
SEC-04	integral
SEC-05	partial
SEC-06	partial
SEC-07	partial
SEC-08	partial
SEC-09	partial
SEC-10	partial
SEC-11	integral
SEC-12	partial
SEC-13	integral
SEC-14	partial
SEC-15	integral
SEC-16	integral
SEC-17	partial
SEC-18	partial
SEC-19	integral
SEC-20	partial
SEC-21	partial
SEC-22	partial
SEC-23	partial
SEC-24	partial
SEC-25	partial
SEC-26	partial
SEC-27	integral
SEC-28	partial
SEC-29	partial
SEC-30	partial
SEC-31	integral
SEC-32	partial
ORM-01	integral
ORM-02	integral
ORM-03	integral
ORM-04	integral
ORM-05	integral
ORM-06	integral
ORM-07	integral
ORM-08	integral
ORM-09	integral
ORM-10	integral
ORM-11	integral
ORM-12	integral
ORM-13	integral
ORM-14	integral
ORM-15	partial
ORM-16	partial
ORM-17	integral
ORM-18	integral
ORM-19	partial
ORM-20	partial
ORM-21	partial
ORM-22	integral
ORM-23	integral
ORM-24	partial
ORM-25	integral
ORM-26	partial
ORM-27	partial
ORM-28	partial
ORM-29	partial
ORM-30	partial
ORM-31	integral
ORM-32	partial
ORM-33	integral
ORM-34	partial
ORM-35	partial
ORM-36	integral
ORM-37	partial
ORM-38	integral
ORM-39	integral
ORM-40	partial
ORM-41	integral
ORM-42	integral
ORM-43	integral
ORM-44	partial
ORM-45	integral
